,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
errónea,23752,35927,27874,31719,20384,97877,19275,33565,109524,20075,56517,163180,47132,41415,169081,32018,22217,22399,31666,23229,57352,62158,28372,42799,35488,24391,10507,17084,35126,19023,20227,63906,100047,30811,28974,15236,30029,50321,70873,31704,13809,48717,19688,21770,32223,102864,45531,24521,44379,11546,75197,27272,41476,20853,30049,36158,27785,0,18539,20265,17217,24413,27838,34014,39661,31807,73905,29821,84370,84493,15012,33721,45432,39635,25198,28481,66571,22663,41728,56431,50829,55926,55838,14503,25307,12701,20699,21555,34894,18698,78264,25297,33605,24594,8055,13173,15897,70519,19494,15775,59935,143789,43670,32749,28153,52231,30085,43111,26381,21212,15322,100640,108866,35388,33632,27399,26927,63236,113361,19249,19101,69789,21852,58276,51915,54954,34492,21082,238140,63841,22380,69145,26545,30623,10074,33789,18100,71514,18835,25572,28147,47126,16733,252003,16322,48818,19058,105591,14282,22607
establece,17463,26933,18145,24596,16130,67220,17394,28047,87108,14661,42610,140338,38391,32411,147582,28616,21915,19364,21796,17751,64772,55332,22863,28094,33502,21465,10451,16987,27871,19071,16317,44191,82885,23859,24095,14176,33063,43326,47936,24082,12143,33005,17033,17379,24619,72917,34774,22533,31234,11888,61323,28037,30491,16684,22476,24214,18920,18539,0,17820,15040,21008,20449,24769,32782,47472,58036,20582,64144,60361,16273,28837,37066,30931,27669,26817,53026,19580,48466,43210,31729,46259,41585,14912,21786,16621,21626,20110,29692,16203,50904,20438,27311,19251,11187,13306,14204,58223,18693,13603,46976,131864,26799,30080,25673,39888,27419,37607,28647,28828,16444,82334,82401,24297,26070,22599,26596,53586,113552,16542,16682,51466,19175,51079,47259,45834,36275,16040,177737,53939,20351,47434,19483,25730,12128,26180,15578,65766,15270,15510,23250,30688,15300,205972,17003,36922,16708,90488,18728,19965
establecido,17938,35785,20356,27219,19244,80531,17919,28475,96872,16619,42160,150502,44216,37718,157109,28768,23164,18646,27587,20916,54642,58248,25788,32884,33738,21586,8600,18131,30369,17355,18159,55076,91137,25246,26486,15466,29026,46065,65296,29907,11654,42972,17840,20867,30400,89345,44016,22742,39029,10250,72305,29397,35850,16401,23359,33058,26208,20265,17820,0,15001,20138,22737,29428,36356,44352,58103,27824,71604,72446,12474,29385,34826,34491,25423,26974,54537,17887,42405,50081,50479,44688,48814,13442,27552,17737,22776,19656,32738,16372,71052,22198,30096,22154,9761,13808,14764,64075,17559,14373,53778,133719,41315,31045,24871,49588,27221,38010,28258,26096,15769,99990,84425,29623,30910,26445,27039,56555,112326,15791,16813,62508,22960,51651,43404,50583,33175,19296,205739,58499,20110,61652,24588,26096,10453,30160,15374,63280,15968,16533,29143,38185,13155,215612,14342,35627,15472,95061,17428,15581
existe,15612,27209,16411,21678,15539,64330,14344,23632,76329,13667,34858,116926,34175,29068,125814,24787,17181,16549,21613,16178,46631,46651,20096,27354,27046,17269,7519,13099,26894,15185,14365,42895,70330,21103,20777,12122,24560,36617,49367,23374,9824,34471,14355,15933,23700,70542,32803,18339,30363,8317,54268,22026,29113,13978,20301,25316,20076,17217,15040,15001,0,17900,18751,23274,28741,30511,49182,21819,59180,58668,11233,24768,28621,27805,20138,21154,44533,15961,33917,39863,36820,37227,38011,11400,19643,11399,16587,16048,25829,13454,53702,18094,23965,17480,8121,10183,11389,50371,14242,11233,39878,108273,30328,26267,21794,38211,21626,31349,21807,19301,12364,74658,78098,24144,24477,20632,20450,45600,89114,13022,14292,48748,17038,41088,36832,39432,27501,15077,165591,46930,15771,48107,19171,20926,8434,24007,13012,53197,14217,14246,21691,31875,11336,175941,12181,33993,13251,78439,12387,14489
existencia,21968,35639,23459,33030,20167,93752,20372,34587,112305,19525,50910,168370,46889,43025,172613,33582,22876,23859,31625,23277,67566,65820,28905,42266,39236,24742,9642,18858,36293,20890,19968,61606,102206,30157,30006,16738,32612,52518,67947,33101,14097,47430,21309,21415,30804,99468,45591,26019,43957,12815,78456,31631,40779,20200,30506,35373,27011,24413,21008,20138,17900,0,27203,34397,42492,38966,73965,30534,86008,85366,15072,36231,45219,38741,28799,30506,63712,23903,50521,55741,51504,53023,57114,15307,26831,14017,22970,23144,36982,19354,76768,26254,35240,24801,10114,14095,15423,71868,20866,15990,56762,151752,41339,35547,29700,52887,30432,45171,28521,27721,18293,102618,106651,33807,33739,31170,29006,65482,125294,19754,18907,67986,25075,60176,55463,56287,40160,21602,233937,68378,21749,67260,25917,31719,11533,37044,18717,75509,18895,20141,30006,46282,16800,258050,18496,48867,19535,108945,16459,20736
fallo,24850,44705,30034,37313,23437,109079,21967,37744,125103,22385,55051,185741,53820,48686,187277,35080,26148,25628,36155,27558,61841,71516,32966,47477,41557,26612,10970,20142,39329,20577,22860,73171,113138,34524,33431,17645,32326,59320,83422,39419,14843,57524,20973,23403,38058,115263,55438,28190,51260,11958,88883,32429,46522,22299,33651,43405,33143,27838,20449,22737,18751,27203,0,40010,46544,36545,81904,35828,96000,100324,13854,38648,46894,44316,29605,32949,70260,25000,46991,64172,65644,57094,65539,16019,31623,13922,24133,24895,41322,20813,93880,28925,39279,29123,8760,14155,17258,79237,22618,17550,68349,160781,53337,36550,30495,61119,32253,49000,30071,25791,18574,119933,119139,41133,38309,34570,30469,70469,129236,21741,21832,80829,26901,65888,57606,62596,39529,24207,271397,76426,23800,81461,31405,33229,10571,41953,19204,77345,20269,23255,34816,52001,18045,279369,17202,51514,21100,117618,16031,20193
falta,29580,57606,34032,46803,30252,141116,27531,47006,161915,28002,66759,234018,68219,62653,245164,44577,33756,30604,46140,35346,77021,89804,42062,59511,52335,33569,11935,26526,49261,25955,27858,94731,145169,43926,43842,23030,37409,73553,112229,50041,18220,75092,28167,32702,49281,149054,70690,33857,68364,14520,113234,41221,59090,27103,40949,55969,44661,34014,24769,29428,23274,34397,40010,0,59507,50917,106792,47669,122802,126205,16885,48411,57102,54647,35269,41157,88936,29637,55837,79888,87783,66438,84574,19304,43967,20236,31630,31254,51799,26068,125143,37633,48974,36202,9588,19191,21782,101365,26749,21643,88686,198370,71133,47506,37819,79284,40680,60854,35388,33110,23137,157932,146532,51053,50255,43929,38389,90457,160325,25812,27645,104755,35583,84794,73287,80350,47799,31915,342937,96274,31221,104272,40051,43095,13252,52377,24206,96867,26319,27359,46419,66229,21578,355431,20115,64826,25144,151411,21552,22941
forma,33558,73175,38748,59196,36382,166949,33124,56694,194419,31740,81596,293831,84444,80172,288497,52857,43983,40019,55812,43012,97064,115532,51119,75059,65970,42768,13451,33770,56535,31103,34418,117540,176255,52741,52830,27918,49992,91372,131600,61048,21478,86471,33273,40150,59778,181834,91463,41729,77001,16728,142751,54827,67463,29890,52185,69241,52845,39661,32782,36356,28741,42492,46544,59507,0,76199,117793,60267,149181,162887,19904,57949,74250,64987,46656,50680,106324,36390,70670,94586,111917,82830,104684,23662,57769,29668,40427,39202,66001,32682,146908,44102,62146,45499,12618,24302,25637,122625,33618,27397,106606,249555,87334,56356,45672,96589,48406,76661,45872,48988,29077,196347,174394,59588,61975,55373,48891,103850,201077,32350,31452,128116,43464,98813,89018,96639,59981,38607,416607,120274,37749,126426,48404,55093,17426,71150,29231,112799,29823,32612,57068,78626,25385,434290,25532,76376,31434,175886,30288,28453
fs,29135,64547,32726,50036,47675,116360,44389,63780,200494,27724,73713,309535,88579,68019,431177,66445,69610,38100,43086,42899,153177,153060,51906,64013,73909,50167,23555,57827,52968,35719,39766,79284,175267,50622,61344,32118,87709,97144,92841,49326,29175,56094,34384,85828,60728,142461,86901,51055,57122,31562,127135,80292,56606,34777,41293,48191,38971,31807,47472,44352,30511,38966,36545,50917,76199,0,96233,39012,117982,106027,37966,56110,79643,64462,89027,87486,128094,36384,128742,88422,64057,106693,77547,53672,100608,151423,84200,39315,70825,31755,86833,41884,51757,36235,35050,63765,42487,144696,43070,38585,81279,346807,54107,58820,51446,105246,66346,70375,70386,153493,41556,271720,154452,43510,56891,49956,94064,102137,295272,40307,36243,120282,40940,128930,94433,109761,87955,37955,395524,118522,49699,94988,38599,54969,30944,54581,35092,146425,31907,26497,62578,49859,29725,475018,39994,61254,36686,180795,122908,41747
fundamentación,69864,103769,73426,96578,55064,281044,56220,99496,324516,58129,149138,480350,136311,124242,490058,90171,65342,67952,86439,73938,174759,183205,82857,120782,108182,71376,31785,50156,98941,56553,55723,183660,297577,90861,89025,44571,87722,152284,201929,92050,39743,140838,57822,60414,91895,283375,129137,71335,125913,34755,219724,80530,118608,59780,90281,101230,77608,73905,58036,58103,49182,73965,81904,106792,117793,96233,0,86331,245025,248735,39553,100371,128786,114143,78575,87882,193270,69834,128305,159914,148633,147687,168479,42728,76683,35461,60231,65868,102599,56191,223979,76477,97115,70955,23148,37037,46924,200875,60181,45999,183407,412003,119461,94746,81965,145807,88736,126091,77667,68116,49329,291473,310537,105400,94270,83613,76137,181413,335494,56492,56553,201797,64477,176245,163694,162614,105961,59710,693132,191733,64201,193759,73048,92527,30389,104334,50794,208312,52881,61218,81142,125551,52031,745790,48360,142613,56590,309133,42590,54186
haber,23249,64339,29421,45918,29239,136904,24082,42031,149261,25362,59250,222392,64625,65540,214257,38833,33061,29666,47240,33130,60265,86369,41182,60365,47072,31451,8022,23641,45064,22639,26249,98780,131872,38580,40454,21289,32117,67715,116185,51011,14674,72437,23090,30797,49046,152894,75214,30398,65512,9240,114297,39298,54479,21217,40042,60692,46769,29821,20582,27824,21819,30534,35828,47669,60267,39012,86331,0,121051,136193,10342,43204,51307,49240,29896,35557,76827,25268,40964,74830,103128,54990,84517,14436,47147,16642,28098,29585,51824,23946,131666,33712,49157,36614,7718,16161,17028,92047,22248,19269,85860,183000,80099,44538,31816,78608,33300,56382,30115,28407,19531,156952,134846,48810,51381,44063,33570,80207,138038,20670,22882,105537,34398,69286,62047,72973,40158,32329,331251,92888,28012,107466,41771,42021,10207,56915,20891,78685,22554,24326,46952,67007,15469,326884,15036,58351,21126,133898,16374,18050
hecho,72261,153507,89262,117913,70607,341289,66644,117335,388016,68877,174544,589266,163915,161320,580667,104817,85865,82860,120012,85050,187528,231303,106702,156083,132464,87184,30459,62769,117721,62834,70538,237557,349384,107936,107485,53239,104957,187333,262816,122879,45485,175026,62009,75103,119578,380258,172327,86280,157609,35787,286180,100220,144652,67539,109190,139734,106832,84370,64144,71604,59180,86008,96000,122802,149181,117982,245025,121051,0,337101,41914,113726,164193,132082,90304,108427,227222,80482,136989,196542,215848,168091,210198,47067,104831,46496,75189,81058,133654,69639,293713,89094,124767,87844,27189,44777,56344,247610,69592,55056,217837,518494,175747,112971,87260,192368,101510,159536,92069,83480,56334,380151,374156,125028,130144,109699,93328,212876,385355,60235,65746,256555,77778,197056,181218,192307,123023,77514,858237,243228,74900,261804,102211,111282,33931,137392,62128,235577,59510,70797,107931,171991,54997,881376,50768,166946,66027,359780,49954,73159
hechos,68629,174580,89436,127085,73757,368413,63299,116559,406167,70833,174560,603266,167323,177394,577826,101544,87049,87002,121631,90944,169375,236544,112260,166939,131255,89745,25637,64502,116150,61177,70888,256808,357181,108829,109755,53482,93944,191330,291397,133043,41791,187045,60224,79812,128455,403705,194795,83553,165363,28676,300018,100995,148629,62333,116067,155695,115518,84493,60361,72446,58668,85366,100324,126205,162887,106027,248735,136193,337101,0,34866,114880,161682,131161,84702,105182,231675,81026,118282,200772,258196,160149,229342,43866,120906,43858,74285,85592,140440,68366,327667,90622,131297,94917,20243,43074,51936,246976,67395,55618,224217,513038,198925,111092,85016,200686,94405,166014,83722,82078,53691,409077,382143,132734,136922,117334,92070,203334,368748,60661,65195,278796,80821,195084,185656,195171,113369,82246,909572,251471,77361,278487,108287,120169,29643,156796,59018,221199,58739,70845,116906,180140,49677,917448,46849,169606,63406,358868,45349,56506
homicidio,12779,14075,13957,15122,10236,42368,14338,19678,61373,11324,32822,97979,27064,19153,113732,23408,16524,12683,12826,11311,59945,36986,17052,15102,24421,15904,10790,11458,21051,15421,11869,24934,52434,17078,15787,11133,36815,29881,24903,13575,9836,19722,12709,9776,12444,52446,16025,16485,17663,11727,36489,18158,22412,14266,13417,12259,10985,15012,16273,12474,11233,15072,13854,16885,19904,37966,39553,10342,41914,34866,0,21119,31206,19638,21629,17568,38269,14873,44918,31587,12512,38081,23754,12347,8969,10018,18115,13155,19418,11883,22974,13522,16611,11379,13206,10680,11703,42913,14366,11106,36421,111177,12293,21359,21190,24931,22905,26657,28224,19037,12808,45950,53425,14595,15560,14472,21415,38521,94724,13848,11241,28639,13516,38961,31849,32655,33893,9596,114152,34138,12567,26559,12253,15693,11640,13480,12691,56554,12408,12888,13789,21618,13392,149512,15032,24055,13883,72388,14851,22677
impugnado,29376,51765,31623,44246,31912,131091,29471,46682,159407,26847,65855,234736,71306,56327,261116,54593,31897,29911,42626,30806,103273,87538,40656,50391,52130,32158,13551,25791,55854,33491,27835,87312,145010,39792,40547,26521,44780,67325,103168,46781,20055,69767,32021,29968,46103,137481,64824,36452,65356,17134,109870,44476,57199,26155,36060,50706,41242,33721,28837,29385,24768,36231,38648,48411,57949,56110,100371,43204,113726,114880,21119,0,53004,55764,39514,35211,81227,28630,75464,80028,76713,70870,75286,22662,38531,17761,31872,30503,50769,25229,117024,36835,48453,36743,14923,21384,20283,100864,25644,21989,80456,203891,62226,58106,49133,78076,42388,59008,40153,34455,24858,144858,138968,46177,45327,42333,39479,104042,190897,28231,26635,97268,42818,83534,72795,82606,58738,31361,319883,91567,30367,93011,37053,39805,16497,47398,24921,109838,31048,26526,46535,60328,19661,349511,25439,60424,24679,172073,24033,23314
imputado,35428,67246,53920,61491,28950,163693,33321,61494,194422,34726,99339,296796,72158,78839,284241,45803,46895,45632,51334,42043,104192,120142,53274,79942,72807,46985,17337,33429,50079,27056,34935,110149,170324,58653,51925,22843,60643,96450,104624,53973,27115,70302,26763,35344,54670,180388,73804,44214,66067,25132,137210,52522,70465,39042,59128,59878,40542,45432,37066,34826,28621,45219,46894,57102,74250,79643,128786,51307,164193,161682,31206,53004,0,60897,51244,63468,128028,47650,85421,95075,83192,95168,100342,27621,47480,31023,44121,41214,65992,37044,113946,44613,59054,37335,13825,22643,35065,123375,40836,31836,107084,282652,70985,45359,37369,86245,56081,85884,58818,53764,31486,178750,196522,58125,60397,51734,55419,92404,201757,34877,31191,113839,25451,106020,97248,96762,70445,34386,424163,121293,33412,114137,46107,59324,21101,70153,33782,128203,24267,39271,43607,78141,35746,474395,31647,89668,39952,164375,33229,62549
inc,42555,62622,38206,48897,33994,149906,32289,53014,177811,30389,76976,279689,82257,65401,274525,52509,38432,33888,50706,37620,92010,101310,45644,59994,59912,37218,14806,28343,56872,30554,32711,102590,179269,48039,47754,26487,41229,79028,119166,55105,21866,86827,34401,37443,56433,157817,76290,40704,75461,18868,127853,49669,65224,30398,42737,58755,47794,39635,30931,34491,27805,38741,44316,54647,64987,64462,114143,49240,132082,131161,19638,55764,60897,0,43305,44608,99805,33216,71020,89938,88863,80749,87424,23790,45443,25508,36277,34800,56326,28626,134493,41881,55502,40602,9988,22717,25532,115337,30160,25191,93782,220731,73019,55908,45623,89031,53025,67309,39472,41087,26013,172773,162720,56774,53388,47755,44320,108656,192206,28602,32278,114117,42322,95048,79190,91436,56287,35342,377356,103718,36207,112646,43946,46521,16673,53069,27883,111821,30408,32274,51756,69763,23603,391462,24781,70003,27396,170283,26175,28617
judicial,24620,39689,25140,35969,24216,95534,25833,39782,128930,21333,57567,198356,56564,46278,219814,40626,31179,26595,32097,27008,93106,81840,33751,41479,46634,29631,15253,25384,39851,25453,23588,60431,116043,34105,34403,20777,51876,63599,68558,34608,17544,47795,24370,28292,35590,102976,49640,33417,43431,16859,88498,40393,44903,24570,31239,35584,27476,25198,27669,25423,20138,28799,29605,35269,46656,89027,78575,29896,90304,84702,21629,39514,51244,43305,0,43172,75897,27506,71449,63606,47193,66899,57708,21911,34576,32665,33568,26329,43538,21799,72477,29657,39451,28126,21028,21867,21792,84658,27858,20091,63152,198559,39431,41565,36547,60006,39676,51954,45663,47811,24064,129368,113275,35668,37307,33282,40395,73708,170912,24012,22241,73729,27886,76136,61732,68246,54513,23578,258166,76991,26799,70236,27643,34653,17869,37834,22422,94855,20934,22009,34298,43041,19920,293892,24722,50415,22993,127962,32945,23460
juez,25860,47598,29528,41754,24449,114386,24672,43852,136554,24462,65365,211480,55293,56215,217183,35594,35290,31470,38141,33204,71286,90643,37838,53426,52491,32894,14115,26271,37109,18578,26584,72746,121770,40027,39297,17862,49690,75378,77604,39629,18837,53863,21271,32201,39316,123143,61574,34415,48277,17574,99439,41025,51576,27958,39622,42246,31078,28481,26817,26974,21154,30506,32949,41157,50680,87486,87882,35557,108427,105182,17568,35211,63468,44608,43172,0,91622,34237,63109,70582,57819,70058,70740,20616,40778,37036,33208,28319,48576,23971,79006,30713,41322,27602,12956,21961,25440,95420,31115,21886,79509,212097,47575,32638,27013,65199,40608,61072,46197,49692,24082,148483,142873,44893,46014,36826,41066,66002,145310,22926,22852,82132,20565,79814,65451,69016,48787,24993,304895,86464,26113,85981,33516,39737,15439,45826,24114,91990,19002,24668,34719,52790,24740,323489,23887,65203,27295,115317,32511,24812
juicio,60211,103960,68542,85113,52233,248719,49841,90254,298472,52235,138637,438680,118336,113407,459815,78455,61667,64297,79471,64328,152046,175736,74462,106113,101154,70987,25977,52026,84453,50558,52453,154387,273699,81351,79982,37884,82978,142382,179516,82138,37424,123047,51867,62339,89648,252859,116501,64883,108603,32653,201911,78136,107867,56527,81272,91642,69879,66571,53026,54537,44533,63712,70260,88936,106324,128094,193270,76827,227222,231675,38269,81227,128028,99805,75897,91622,0,64862,116813,144718,127299,137014,151972,42558,76779,50694,63935,63741,96187,51537,190811,68727,85995,60819,22200,40429,56462,189791,59000,45450,140239,394781,104316,81001,67575,133592,82535,127043,76278,81550,47720,286003,307088,94073,89840,73977,80315,152016,302749,47409,51779,181235,51765,159777,148717,149857,96411,54347,646032,177088,62559,180175,68376,87673,29099,93560,48755,192024,45543,53488,74269,111458,47854,697108,44796,135412,53122,269627,50280,58666
jurídica,20692,34327,24791,30668,16025,84581,16717,31390,100368,18417,50150,149882,37677,38621,148567,27296,20411,23935,27380,22546,56608,62125,26378,39815,36690,23169,9786,16252,29845,15816,18674,51470,88186,28639,25776,13021,32712,51868,55048,28253,13536,39952,15926,17964,26253,90392,38432,24265,34627,12690,68821,25635,38932,20232,30533,30426,21622,22663,19580,17887,15961,23903,25000,29637,36390,36384,69834,25268,80482,81026,14873,28630,47650,33216,27506,34237,64862,0,45490,51851,37868,52201,50815,14204,22677,14007,20647,21651,33884,18068,59113,23814,30547,19970,9544,12205,15813,64435,22158,15559,47237,145978,32226,26263,23277,43682,28672,47472,27439,26930,15938,90826,103566,31383,32072,26242,26700,50733,105213,17877,17417,58919,15524,57284,50192,49077,35308,18112,217873,61741,18813,59415,22922,29290,10869,33636,18513,68285,15089,20318,22720,42641,17456,243177,18169,48452,19597,88960,15176,22008
justicia,40510,53717,41871,54152,39210,143048,45275,64545,203390,33913,93151,319297,89866,65709,362868,76429,46240,40926,49276,37541,186186,125559,52809,54830,79418,45272,26580,39918,72353,47658,38295,87359,187532,53814,50930,38573,90470,94534,95869,51771,31925,71938,44334,39073,50772,156846,66838,55912,69650,35646,138189,67675,72450,41529,44872,50263,40465,41728,48466,42405,33917,50521,46991,55837,70670,128742,128305,40964,136989,118282,44918,75464,85421,71020,71449,63109,116813,45490,0,104241,57157,115391,82200,38919,42596,41717,54830,40655,67143,35073,103680,47347,60847,43446,35089,34551,35533,140658,45263,34409,91212,327293,51446,76823,70145,94476,68584,82388,79960,71343,42908,179358,177734,53025,53840,52116,66013,137518,313439,42555,35422,104651,52830,124255,99070,113513,104832,36754,393647,118432,37756,100445,42798,50037,34309,53166,38127,175468,39807,34839,54304,64877,34836,479694,47588,79963,39338,226425,50626,49062
legal,48941,93686,56066,73442,49538,223086,45739,75791,259585,49111,113447,388941,112440,100390,406829,76836,55591,51077,76680,55504,137168,151840,68222,93738,86294,55934,21671,41534,84181,44981,47145,148423,233300,68902,68082,39681,75412,122163,174429,80650,31231,118439,45587,51413,77635,242285,114969,60353,104804,26032,186019,69279,104856,46030,65079,89285,70428,56431,43210,50081,39863,55741,64172,79888,94586,88422,159914,74830,196542,200772,31587,80028,95075,89938,63606,70582,144718,51851,104241,0,135255,117586,130498,33598,66703,34494,52015,51135,85977,42060,192162,59455,80449,58998,23092,32525,36806,167486,46384,36440,140352,350182,110298,82018,64487,128973,68626,103255,69224,57155,38935,252520,237953,80754,82756,70520,64467,148183,280105,41176,42767,165767,57221,137647,112281,131944,85655,51713,551730,154752,49757,168740,65045,67624,24904,81695,41886,170703,43345,46787,73091,109154,34370,579231,38621,104099,40820,251107,36898,40499
lesiones,38580,124578,48940,82961,55237,252092,42015,71899,264231,44753,98185,397886,121789,122234,380802,68625,62476,48704,87325,60649,89062,152176,76843,111239,79173,55541,9074,41993,80254,39062,46668,193640,236717,66250,73727,38164,46160,118668,229730,98251,22922,140009,39097,58248,94133,288236,152163,51290,124661,10228,209125,69613,98387,30543,69208,119377,91940,50829,31729,50479,36820,51504,65644,87783,111917,64057,148633,103128,215848,258196,12512,76713,83192,88863,47193,57819,127299,37868,57157,135255,0,87188,159287,23227,95256,28893,47631,51646,94197,39969,261231,58190,91279,68679,7780,29088,26557,161927,33213,33105,166446,314337,165012,81282,54908,149304,54306,94455,45637,43706,31546,295574,223121,88521,93729,82199,55482,141717,231892,33303,39651,201123,67912,115028,104826,127743,61272,60126,605202,165031,51325,202979,77765,74126,14559,107919,33880,124323,40698,41302,92301,126821,20635,561892,20564,93093,33182,241180,27505,17491
ley,46697,70071,53787,65484,42418,182548,44518,70852,227436,41167,115058,355189,101028,84342,369658,70731,51925,48178,61842,48220,151098,142131,60815,84077,81363,52045,27251,41860,73355,43304,43579,116813,202213,63849,60847,35231,87187,112584,127988,63436,30717,90555,41712,44487,63588,202095,93221,57835,82007,29083,158878,67151,84390,45364,60096,68228,50934,55926,46259,44688,37227,53023,57094,66438,82830,106693,147687,54990,168091,160149,38081,70870,95168,80749,66899,70058,137014,52201,115391,117586,87188,0,107069,36154,53289,39886,53196,47419,75699,40331,136335,51985,70926,50968,33846,33553,35996,149911,47766,35099,120059,345802,75432,72239,63258,106394,69740,94366,76298,65469,39467,214621,214214,68957,67804,57594,66803,132789,279395,43504,40359,137278,47378,128895,110305,118628,89354,41819,475791,137862,46503,130851,52409,62268,28559,68379,40539,164955,38505,48435,59019,88789,37951,525225,41869,96664,42291,224734,42543,46243
manera,46895,102907,55674,81877,48900,238815,42548,77011,270069,45316,113987,394699,110083,112099,390893,69465,56287,54571,78344,60633,114146,155216,70504,105760,86634,59353,16931,43871,76943,42013,46417,163589,238455,70097,72085,35147,61891,126788,190840,85284,27371,123223,43272,54392,83045,253079,123298,54935,110500,20971,195774,69732,97069,41685,73130,98421,74582,55838,41585,48814,38011,57114,65539,84574,104684,77547,168479,84517,210198,229342,23754,75286,100342,87424,57708,70740,151972,50815,82200,130498,159287,107069,0,29594,78771,32019,51103,55094,90518,44142,211908,61769,85440,61425,14848,30307,34233,163562,44670,35339,142879,331525,125818,75412,58360,131250,63356,106405,57994,55789,36686,268393,249460,85406,86716,75084,62330,138738,252100,39756,44699,178420,55404,133601,125896,131164,73748,52953,582518,164238,54471,180711,68754,78668,19994,97133,38961,149502,40533,46197,76255,114579,35375,596654,31488,110905,42588,242095,32482,36234
marzo,12988,20275,16227,18686,13860,50874,13483,21877,69798,11612,30457,103045,29373,23210,125638,24350,16642,14254,16511,13791,50307,42866,16866,19854,24461,15853,7839,14445,22604,14372,13058,30884,62016,17744,18166,11311,24800,32327,35649,17961,9359,24933,13121,16588,18620,52564,25502,17326,24196,9483,44492,21014,23824,13399,15246,18231,15074,14503,14912,13442,11400,15307,16019,19304,23662,53672,42728,14436,47067,43866,12347,22662,27621,23790,21911,20616,42558,14204,38919,33598,23227,36154,29594,0,19786,20011,18530,14422,22613,11503,38658,15889,19677,13950,10253,12939,12382,46599,13662,12173,31244,100279,19422,23057,20867,32439,20946,26733,20448,26766,12400,67000,64330,19764,18477,16915,22071,42467,90716,13519,13254,39924,15139,42213,35276,36845,28614,12293,137329,39713,15290,36002,14797,18306,9421,18520,12315,53579,13665,11970,18934,21735,11451,161250,12788,27336,12563,70764,19739,16247
mayo,19310,61519,25293,43010,29976,119881,22844,39907,142546,22019,52124,209720,60836,61185,230215,37460,38080,27135,40988,32521,55804,90193,38439,57183,43966,31509,6496,28982,38763,21103,24894,89502,124908,34801,40919,19677,28304,65683,107261,46720,13357,63200,20846,41569,47943,136684,76924,28515,58580,9325,103582,42379,47765,18340,36477,54904,42085,25307,21786,27552,19643,26831,31623,43967,57769,100608,76683,47147,104831,120906,8969,38531,47480,45443,34576,40778,76779,22677,42596,66703,95256,53289,78771,19786,0,45543,35726,28571,49996,21219,116506,30375,44557,32580,7113,24166,18176,88245,20726,20196,75417,181505,73446,40243,29471,76993,32279,51949,27632,51373,19557,171962,115435,42388,47146,41026,40270,70677,136595,20298,23060,102367,31449,69367,62064,70067,36690,29975,310864,87045,31130,96148,36573,41376,10465,53244,19126,73618,21509,20357,47276,57796,14099,311398,14693,48628,19905,121571,35197,13367
mediante,11212,27772,12786,19460,18770,46943,15801,25057,78032,11054,28097,116349,32676,28027,168320,21323,28370,15029,17587,18084,44482,62296,19257,29096,26813,19486,7417,23547,18204,10667,15388,33446,68435,18648,25764,11070,25728,40852,40662,19861,10415,23157,11944,39431,25639,58330,38722,18613,22739,11031,51714,32175,23219,13716,17870,21216,15938,12701,16621,17737,11399,14017,13922,20236,29668,151423,35461,16642,46496,43858,10018,17761,31023,25508,32665,37036,50694,14007,41717,34494,28893,39886,32019,20011,45543,0,33871,14555,27717,11996,37119,15748,19311,13085,10341,25821,16260,54690,16119,14459,32494,129457,24631,19280,14954,43811,24326,27159,23905,66048,15204,116824,60074,17200,24847,19239,37283,34060,101470,13607,14238,50647,12747,48785,35145,41958,27622,14706,160631,47937,20142,40747,15284,22766,10196,22224,12595,51061,10354,10557,24604,21914,10509,182209,13478,24383,13027,59301,49519,14603
